,type,date,review,rating,geo,geo_2,coordinate,lon,lat,year
19788,indeed,2019-09-17,"Tâches peu épanouissantes Du fait de mon statut de stagiaire, je n'ai pas eu l'occasion d'effectuer des travaux significatifs.",4.0,Mérignac (33),mrignac,"[-0.354007, 45.831455]",-0.354007,45.831455,2019
19789,indeed,2019-09-14,Environnement de travail agréable Très bonne expérience avec beaucoup de facilité dans le travail et de bons collaborateurs,5.0,Grenoble (38),grenoble,"[5.7243, 45.182081]",5.7243,45.182081,2019
19790,indeed,2019-09-09,Entreprise idéale Très bonne ambiance et très bonnes conditions de travail.,5.0,Beauvais (60),beauvais,"[-1.778035, 47.957847]",-1.778035,47.957847,2019
19793,indeed,2019-08-27,Une belle expérience Une entreprise d'utilité publique bâtie sur des valeurs d'humanité et de sécurité de l'emploi.,5.0,Marseille (13),marseille,"[5.405, 43.282]",5.405,43.282,2019
19794,indeed,2019-08-19,"Environnement de travail agréable Personnel qualifiés, enthousiaste, professionnels.",4.0,Toulouse (31),toulouse,"[1.433805, 43.604082]",1.433805,43.604082,2019
19796,indeed,2019-08-11,"Alternance effectué dans leur effectif Une entreprise qui m'a permis d'améliorer ma capacité d'initiative. Enedis fait participer ses salariés pour faire évoluer la satisfaction client, il aime bien des personnes qui demande a évoluer et qui sont for de proposition.",4.0,Lyon (69),lyon,"[4.835, 45.758]",4.835,45.758,2019
19797,indeed,2019-07-30,Une entreprise au top ! Mon seul regret dans cette entreprise c'est qu'elle n'embauche pas ... Même leurs apprentis ..! c'est le seul point négatif.,5.0,Caen (14),caen,"[-0.372291, 49.184571]",-0.372291,49.184571,2019
19798,indeed,2019-07-30,Superbe entreprise Je ne me suis jamais senti aussi bien dans une entreprise !! Une bonne ambiance au travail avec des managers à l'écoutes.,5.0,Caen (14),caen,"[-0.372291, 49.184571]",-0.372291,49.184571,2019
19799,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19800,indeed,2019-07-05,Environnement de travail confortable Outils particuliers (Grosse entreprise),3.0,La Rochelle (17),larochelle,"[0.177615, 44.356911]",0.177615,44.356911,2019
19802,indeed,2019-06-11,Environnement de travail agréable et épanouissant Une belle entreprise aux valeurs de service public à la recherche de performance dans un monde hyper contraint.,4.0,Nice (06),nice,"[7.250987, 43.713012]",7.250987,43.713012,2019
19806,indeed,2019-06-01,Bonne entreprise Bonne entreprise avec période de formation soutenue intégration de l'équipe impeccable,5.0,Limoges,limoges,"[1.221254, 45.856159]",1.221254,45.856159,2019
19807,indeed,2019-05-26,"un des meilleur boulot de ma vie Excellente équipe, excellent entreprise avec beaucoup d'avantages,",4.0,Melun (77),melun,"[2.659426, 48.541342]",2.659426,48.541342,2019
19812,indeed,2019-04-08,"Environnement de travail agréable Cet emploi saisonnier m'a permit d'avoir une première expérience dans le monde du travail, j'ai eu l'occasion de gérer la partie logistique des laboratoires linky.",3.0,Nanterre (92),nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19814,indeed,2019-04-04,Entreprise au top Entreprise où il fait bon vivre doté d'un système de management puissant,5.0,Tours (37),tours,"[0.69472, 47.395476]",0.69472,47.395476,2019
19815,indeed,2019-03-30,"Harcèlement de rigueur Parcours, releveur, monteur et technicien clientèle, 23 ans de carrière.",1.0,Dunkerque (59),dunkerque,"[2.346065, 51.028093]",2.346065,51.028093,2019
19817,indeed,2019-03-04,Très Proche des méthodes de France telecom Je suis très déçu une image et 3ème au rang des entreprises non justifiées.,1.0,Avignon (84),avignon,"[-1.759717, 48.390709]",-1.759717,48.390709,2019
19818,indeed,2019-03-01,Enedis Entreprise ayant compris le sens du service public.,5.0,Beaucouzé (49),beaucouz,"[-0.62872, 47.477336]",-0.62872,47.477336,2019
19820,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19821,indeed,2019-02-18,"Environnement de travail plaisant Bureau récent, des salariés très sympathique, bureau à proximité d'une ZA",5.0,Avignon (84),avignon,"[-1.759717, 48.390709]",-1.759717,48.390709,2019
19822,indeed,2019-02-17,stage mon stage c'est bien passe mais je ne pouvais pas faire énormément de chose comme je n'avais pas les habilitations,4.0,Lyon (69),lyon,"[4.835, 45.758]",4.835,45.758,2019
19823,indeed,2019-02-13,bon très bon environnement de travail et de bonnes perspective d'évolution.,5.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2019
19824,indeed,2019-01-28,Environnement de travail agréable Bonne ambiance de travail au sein de cette entreprise.,5.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2019
19826,indeed,2019-01-10,Opportunités Managériales pour les jeunes diplômés Des opportunités pour les jeunes diplômés. Notamment sur le management,4.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2019
19827,indeed,2018-12-19,Travail agréable Travail agréable avec une hiérarchie trés humaine,4.0,Valence (26),valence,"[4.923011, 44.921313]",4.923011,44.921313,2018
19831,indeed,2018-11-26,Responsables respectueux Cette entreprise prend à coeur les besoins de ses salariés,4.0,Saint-Étienne (42),sainttienne,"[2.77011, 49.306354]",2.77011,49.306354,2018
19832,indeed,2018-11-22,Environnement de travail agréable Une très bonne expérience de 2 ans  au sein de l'entreprise EDISON,5.0,Puteaux (92),puteaux,"[2.237177, 48.884331]",2.237177,48.884331,2018
19834,indeed,2018-10-29,environnement agréable Poste intéressant dont j'ai découvert de nouvelles tâches que je ne connaissais pas.,2.0,Paris 17e (75),parise,"[1.291913, 43.176055]",1.291913,43.176055,2018
19837,indeed,2018-10-17,travail typique entreprise insiema nul changement compteur linki,3.0,Fréjus (83),frjus,"[2.141453, 50.512787]",2.141453,50.512787,2018
19838,indeed,2018-10-17,"environnement très agréable une très belle expérience, très contente d avoir pu travailler pour eux.",4.0,Arras (62),arras,"[2.768267, 50.287896]",2.768267,50.287896,2018
19839,indeed,2018-10-12,stage de nombreuses taches ont été effectuées par mon tuteur et par celles ci j'ai pu découvrir le métier de technicien de maintenance du réseau électrique.,5.0,Maurepas (78),maurepas,"[-1.193264, 48.097112]",-1.193264,48.097112,2018
19840,indeed,2018-10-10,Produit à livrer Le stage était surtout une commande. Vu qu'ils ne connaissaient pas notre domaine ils nous laissaient en autonomie ce que je peu comprendre. Ils venaient juste vérifié notre travail pour voir si ça avançai et si ça donnai ce qu'ils voulaient. Les problèmes qu'on a eu lors de ce stage ne venaient pas d'Enedis directement donc je n'ai pas grand chose à leur reprocher. J'ai mis 1 en perspective d'avenir car ils voulaient juste leur livraison rien de plus et cela était convenu dès le début.,3.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2018
19841,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19843,indeed,2018-09-20,Alternance correct Alternance bien passé,3.0,Lille (59),lille,"[3.045433, 50.630992]",3.045433,50.630992,2018
19844,indeed,2018-09-19,une bonne ambiance de travail Une bonne ambiance entre collègues et une variété de taches importantes et valorisantes,4.0,Toulouse (31),toulouse,"[1.433805, 43.604082]",1.433805,43.604082,2018
